Date,Visits,Department
2020-04-01,106.52358539877216,Cardiology
2020-05-01,103.39071442898825,Cardiology
2020-06-01,115.89302309925178,Cardiology
2020-07-01,120.31374859644933,Cardiology
2020-08-01,109.20849764211583,Cardiology
2020-09-01,115.65366986867156,Cardiology
2020-10-01,125.82222977491813,Cardiology
2020-11-01,126.41190833999428,Cardiology
2020-12-01,130.4902145960986,Cardiology
2021-01-01,128.64630867217215,Cardiology
2021-02-01,139.39344598554865,Cardiology
2021-03-01,140.71580092306996,Cardiology
2020-04-01,91.58565114192098,Oncology
2020-05-01,101.91620981026185,Oncology
2020-06-01,107.95453244574452,Oncology
2020-07-01,113.54203667128965,Oncology
2020-08-01,117.51980648434929,Oncology
2020-09-01,121.13130357898278,Oncology
2020-10-01,118.4394023978395,Oncology
2020-11-01,120.68136233838936,Oncology
2020-12-01,129.86409978990582,Oncology
2021-01-01,126.955006685632,Oncology
2021-02-01,123.61802449454491,Oncology
2021-03-01,126.16040517590781,Oncology
2020-04-01,89.88251253689067,Neurology
2020-05-01,99.4870131349723,Neurology
2020-06-01,103.24075054007832,Neurology
2020-07-01,112.40686289069545,Neurology
2020-08-01,113.1392298149579,Neurology
2020-09-01,113.9489226987307,Neurology
2020-10-01,122.4995422151795,Neurology
2020-11-01,112.04930603009794,Neurology
2020-12-01,117.37546271987132,Neurology
2021-01-01,118.27864860301244,Neurology
2021-02-01,123.0474070954557,Neurology
2021-03-01,119.94341050814367,Neurology
